Sample,T_C,P_bar,final_P,DNNO,DFMQ,logfO2,SiO2,TiO2,Al2O3,Fe2O3,FeO,Fe2O3T,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2ppm,STppm,Fe3FeT,S6ST,wt_g,fS2,Notes,logfS2,,
Hawaii high Si,1200,4000,,,-3.2,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,0,,-17
Hawaii high Si,1200,4000,,,-3.1,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,0,,-17
Hawaii high Si,1200,4000,,,-3,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,0,,-17
Hawaii high Si,1200,4000,,,-2.9,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,0,,-17
Hawaii high Si,1200,4000,,,-2.8,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,0,,-17
Hawaii high Si,1200,4000,,,-2.7,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,0,,-17
Hawaii high Si,1200,4000,,,-2.6,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,0,,-17
Hawaii high Si,1200,4000,,,-2.5,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,0,,-17
Hawaii high Si,1200,4000,,,-2.4,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,0,,-17
Hawaii high Si,1200,4000,,,-2.3,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,0,,-17
Hawaii high Si,1200,4000,,,-2.2,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,0,,-17
Hawaii high Si,1200,4000,,,-2.1,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,0,,-17
